Date,Ticker,Weekly Return
2004-01-09,AAPL,0.08082610262554168
2004-01-16,AAPL,-0.01217372448920273
2004-01-23,AAPL,-0.007041657407827917
2004-01-30,AAPL,0.0
2004-02-06,AAPL,0.0066498124799061475
2004-02-13,AAPL,0.012768022017115133
2004-02-20,AAPL,-0.02608645405978982
2004-02-27,AAPL,0.06785796423012558
2004-03-05,AAPL,0.11789260785344058
2004-03-12,AAPL,0.030665874113701808
2004-03-19,AAPL,-0.06168310673220412
2004-03-26,AAPL,0.045629019489622946
2004-04-02,AAPL,0.017011333173260645
2004-04-09,AAPL,0.0010914427188837283
2004-04-16,AAPL,0.059933757467609095
2004-04-23,AAPL,-0.05071854352733873
2004-04-30,AAPL,-0.06931402934424669
2004-05-07,AAPL,0.03452270950261682
2004-05-14,AAPL,0.014622515749706855
2004-05-21,AAPL,0.0018481613575882516
2004-05-28,AAPL,0.03504188536718633
2004-06-04,AAPL,0.025661052160807385
2004-06-11,AAPL,0.06810264231034324
2004-06-18,AAPL,0.07059218384056276
2004-06-25,AAPL,0.024004326474535986
2004-07-02,AAPL,-0.07774511319336408
2004-07-09,AAPL,-0.0337833303732038
2004-07-16,AAPL,0.07226088638671624
2004-07-23,AAPL,-0.046584749712422546
2004-07-30,AAPL,0.05342085497471172
2004-08-06,AAPL,-0.07915825526618692
2004-08-13,AAPL,0.03559346957897547
2004-08-20,AAPL,-0.0012966656746328242
2004-08-27,AAPL,0.11525984089531183
2004-09-03,AAPL,0.02561837241895315
2004-09-10,AAPL,0.018166810422033608
2004-09-17,AAPL,0.03540449748535335
2004-09-24,AAPL,0.004039360298097039
2004-10-01,AAPL,0.03700778468290711
2004-10-08,AAPL,0.010085032858563325
2004-10-15,AAPL,0.16487457305408548
2004-10-22,AAPL,0.04197767455612089
2004-10-29,AAPL,0.10525177259335883
2004-11-05,AAPL,0.04427530359965193
2004-11-12,AAPL,0.014253961138880555
2004-11-19,AAPL,-0.0059453539618991025
2004-11-26,AAPL,0.17001974394760921
2004-12-03,AAPL,-0.028970208017404908
2004-12-10,AAPL,0.039406889160544356
2004-12-17,AAPL,-0.0024554487809338443
2004-12-24,AAPL,-0.015079264653391822
2004-12-31,AAPL,0.006092614297165788
2005-01-07,AAPL,0.07531007957688574
2005-01-14,AAPL,0.013718115089709215
2005-01-21,AAPL,0.004131587373045642
2005-01-28,AAPL,0.0495100348777302
2005-02-04,AAPL,0.06569373316868488
2005-02-11,AAPL,0.030061247169595795
2005-02-18,AAPL,0.06895735276815707
2005-02-25,AAPL,0.02511181803637763
2005-03-04,AAPL,-0.03786932329837722
