Date,Model,AAPL,AMZN,BKNG,CACC,CPRT,IDXX,ISRG,MNST,NFLX,NVDA,NVR,ODFL,ORLY,REGN,SBAC,TSCO,TYL,VRTX,WST
2014-01-01,Minimum Variance,0.0590080096822555,0.0,0.0,0.0,0.1801836124747876,0.2211402380606988,0.0,0.0178459886517462,0.002172799468883,0.0,0.0269876387977937,0.0,0.1825070396611984,0.0,0.0,0.0443802912368836,0.0912426795608491,0.0,0.1745317024049042
2014-05-01,Minimum Variance,0.0616200301068034,0.0,0.0,0.0,0.1797429809130142,0.2209063114795714,0.0,0.0172207475025871,0.0024503619430283,0.0,0.0314212697465095,0.0,0.1830572585848339,0.0,0.0,0.0432367926220851,0.0892541466851841,0.0,0.1710901004163829
2014-09-01,Minimum Variance,0.0637741376809237,0.0,0.0,0.0,0.1802327525997602,0.2222341170795662,0.0,0.0173954911617208,0.002271182109341,0.0,0.0340355799290707,0.0,0.1840505896677861,0.0,0.0,0.0425351473960529,0.0845826680360713,0.0,0.1688883343397071
2015-01-01,Minimum Variance,0.0652332350781928,0.0,0.0,0.0,0.1839822527565024,0.2222525275612181,0.0,0.0190988378878186,0.0022966067952685,0.0,0.0369611433920073,0.0,0.1844778388208794,0.0,0.0,0.0395890895831555,0.0780129032039549,0.0,0.1680955649210025
2015-05-01,Minimum Variance,0.0667160911303076,0.0,0.0,0.0,0.190375657177651,0.2089131275486673,0.0,0.0203797767086577,0.003813620262925,0.0,0.0424866933530555,0.0,0.1823511262697689,0.0,0.0,0.0391716128628994,0.075186540258589,0.0,0.1706057544274784
2015-09-01,Minimum Variance,0.0658107876602062,0.0,0.0,0.0019140997352965,0.1928959014963252,0.204898893433629,0.0,0.0200214140016427,0.0017645978827013,0.0,0.0458448477061089,0.0,0.1834251094862255,0.0,0.0,0.0372840272894978,0.0756175232630593,0.0,0.1705227980453076
2016-01-01,Minimum Variance,0.0657496884375893,0.0,0.0004611855751118,0.0009042114475971,0.195490013822555,0.2020588110583649,0.0,0.0204651114496555,0.0019812814155496,0.0,0.0480202610961693,0.0,0.1817013743643782,0.0,0.0,0.0367816624116255,0.0755802000791686,0.0,0.1708061988422353
2016-05-01,Minimum Variance,0.0654633740095728,0.0,0.0,0.0026170539031175,0.1963019593355049,0.2025136369063,0.0,0.0213092377204063,0.0013162180607574,0.0,0.0505012257798592,0.0,0.1836189694118654,0.0,0.0,0.0380421889746936,0.0663027046881708,0.0,0.172013431209752
2016-09-01,Minimum Variance,0.0669747989146718,0.0,0.0,0.0029155029318811,0.1943214201584967,0.198155003308303,0.0,0.0219995423300941,0.0008176713201277,0.0,0.0517143398146451,0.0,0.1866562589599172,0.0,0.0,0.038689511311359,0.0663495919184336,0.0,0.1714063590320708
2017-01-01,Minimum Variance,0.0680658052159329,0.0,0.0,0.0034153858028925,0.1957319287334794,0.1943949941308462,0.0,0.0219719734968473,0.0011450100808596,0.0,0.0536872997957116,0.0,0.184970140353611,0.0,0.0,0.0390293116240998,0.0669476943663997,0.0,0.1706404563993201
2017-05-01,Minimum Variance,0.070517709057572,0.0,0.00011883513627,0.0035109776267515,0.196354131900493,0.191139964806858,0.0,0.0226885759662536,0.00174955528443,0.0,0.0549853756011539,0.0,0.1842898498270233,0.0,0.0,0.0395289305158504,0.0670722334480363,0.0,0.1680438608293081
2017-09-01,Minimum Variance,0.0710726123240019,0.0,0.0011943315003732,0.004755517902362,0.1962619084826819,0.1903259362060844,0.0,0.0235650055563847,0.0017024526789455,0.0,0.0567401842773499,0.0,0.1752193390288194,0.0,0.0,0.0403391721783527,0.0694886544072531,0.0,0.1693348854573911
2018-01-01,Minimum Variance,0.0731922966149619,0.0,0.0027112939484182,0.0051121997558536,0.1951153831164565,0.1896533658515542,0.0,0.0246101368821372,0.0026301381959359,0.0,0.0593853771844033,0.0,0.1690580624676877,0.0,0.0,0.0432898116124198,0.0689488425629342,0.0,0.1662930918072374
2018-05-01,Minimum Variance,0.0738487161249116,0.0,0.0049906091204154,0.0061246155702065,0.1967261699501505,0.1866025290840518,0.0,0.0242166810323269,0.0012590581101284,0.0,0.0612476599687633,0.0,0.1633526045862318,0.0,0.0,0.0414711679875607,0.0729895239034553,0.0,0.1671706645617978
2018-09-01,Minimum Variance,0.0758616313146819,0.0,0.0067179831845455,0.0072782331150947,0.196583414423992,0.1830104857929068,0.0,0.0247020412145986,0.0012665886481771,0.0,0.0606035942336476,0.0,0.1629016905732981,0.0,0.0,0.0422523484235416,0.0736263202946666,0.0,0.1651956687808496
2019-01-01,Minimum Variance,0.0720837608984235,0.0,0.0081428549852186,0.0073895856733099,0.1859701759323894,0.1750855267042174,0.0,0.0270060599110405,0.0,0.0,0.0669901452402533,0.0,0.1682889161910106,0.0,0.0009099259998756,0.0428876969797655,0.0755523609202688,0.0,0.1696929905642268
2019-05-01,Minimum Variance,0.0697149017529135,0.0,0.0090453306044664,0.0084517816175269,0.185620868736076,0.1719376348910549,0.0,0.0273172193289788,0.0,0.0,0.0694065979528889,0.0,0.1700861907329552,0.0,0.0034897433116747,0.042852636849322,0.0758105702713892,0.0,0.1662665239507537
2019-09-01,Minimum Variance,0.0666968809389155,0.0,0.0090442455373665,0.0085344547752045,0.1852685268200289,0.1680775741614248,0.0,0.0269898627896764,0.0,0.0,0.0704921510384938,0.0,0.1728347536432714,0.0,0.0068502311827182,0.0400803826886065,0.0773148296670909,0.0,0.1678161067572023
